Date,Open,High,Low,Close,Volume,Adjusted,Ticker,Price
2015-01-02,41.540000915527344,41.959999084472656,40.775001525878906,41.525001525878906,1903339,35.34465026855469,AIR.PA,35.34465026855469
2015-01-05,41.125,43.20000076293945,41.064998626708984,41.650001525878906,4467274,35.45104217529297,AIR.PA,35.45104217529297
2015-01-06,41.81999969482422,43.75,41.68000030517578,42.6150016784668,4810966,36.27241897583008,AIR.PA,36.27241897583008
2015-01-07,43,44.21500015258789,42.810001373291016,43.724998474121094,4236974,37.21720886230469,AIR.PA,37.21720886230469
2015-01-08,44.20000076293945,45.5,43.974998474121094,45.21500015258789,4548325,38.48545455932617,AIR.PA,38.48545455932617
2015-01-09,45.244998931884766,45.689998626708984,44.29999923706055,44.54999923706055,4179216,37.9194221496582,AIR.PA,37.9194221496582
2015-01-12,44.790000915527344,45.834999084472656,44.790000915527344,44.95000076293945,3308396,38.259891510009766,AIR.PA,38.259891510009766
2015-01-13,44.11000061035156,45.98500061035156,43.7400016784668,45.564998626708984,3761440,38.783355712890625,AIR.PA,38.783355712890625
2015-01-14,44.9900016784668,46.375,44.75,45.13999938964844,2928718,38.42161560058594,AIR.PA,38.42161560058594
2015-01-15,45.53499984741211,46.380001068115234,44.7400016784668,46.27000045776367,5004208,39.38343048095703,AIR.PA,39.38343048095703
2015-01-16,46.04499816894531,46.599998474121094,45.7599983215332,46.39500045776367,3860675,39.48982238769531,AIR.PA,39.48982238769531
2015-01-19,46.439998626708984,46.93000030517578,46.345001220703125,46.650001525878906,2071579,39.70687484741211,AIR.PA,39.70687484741211
2015-01-20,46.779998779296875,47.494998931884766,46.779998779296875,47.08000183105469,2755590,40.072872161865234,AIR.PA,40.072872161865234
2015-01-21,47.334999084472656,47.3650016784668,46.040000915527344,46.81999969482422,3842891,39.8515739440918,AIR.PA,39.8515739440918
2015-01-22,46.90999984741211,47.5,46.119998931884766,47.33000183105469,4747740,40.285667419433594,AIR.PA,40.285667419433594
2015-01-23,47.869998931884766,49.97999954223633,47.70000076293945,49.279998779296875,6911057,41.9454345703125,AIR.PA,41.9454345703125
2015-01-26,49.279998779296875,50.4900016784668,49.279998779296875,50.13999938964844,6342198,42.67743682861328,AIR.PA,42.67743682861328
2015-01-27,50.29999923706055,51.20000076293945,48.89500045776367,49.06999969482422,4591955,41.76668930053711,AIR.PA,41.76668930053711
2015-01-28,49.505001068115234,49.85499954223633,48.755001068115234,48.95500183105469,3778406,41.6688117980957,AIR.PA,41.6688117980957
2015-01-29,48.55500030517578,49.494998931884766,47.65999984741211,48.275001525878906,4444319,41.09001541137695,AIR.PA,41.09001541137695
2015-01-30,48.40999984741211,49.42499923706055,46.900001525878906,47.20000076293945,6279555,40.17501449584961,AIR.PA,40.17501449584961
2015-02-02,47.029998779296875,47.595001220703125,46.55500030517578,46.869998931884766,2830148,39.894126892089844,AIR.PA,39.894126892089844
2015-02-03,47.224998474121094,47.77000045776367,47.040000915527344,47.244998931884766,3064365,40.21331787109375,AIR.PA,40.21331787109375
2015-02-04,47.01499938964844,47.64500045776367,46.59000015258789,47.6349983215332,2689667,40.545265197753906,AIR.PA,40.545265197753906
2015-02-05,47.150001525878906,48.540000915527344,47,48.40999984741211,2708767,41.204917907714844,AIR.PA,41.204917907714844
2015-02-06,48.17499923706055,48.459999084472656,48.04999923706055,48.345001220703125,2177587,41.149593353271484,AIR.PA,41.149593353271484
2015-02-09,48,48.34000015258789,47.5099983215332,48.23500061035156,2569266,41.05596160888672,AIR.PA,41.05596160888672
2015-02-10,48.47999954223633,50.02000045776367,48.47999954223633,49.73500061035156,3340873,42.33271789550781,AIR.PA,42.33271789550781
2015-02-11,49.650001525878906,49.80500030517578,48.98500061035156,49.41999816894531,1823991,42.064598083496094,AIR.PA,42.064598083496094
2015-02-12,49.244998931884766,49.935001373291016,49.125,49.775001525878906,1976894,42.36676025390625,AIR.PA,42.36676025390625
2015-02-13,49.95000076293945,50.060001373291016,49.400001525878906,49.75,2540087,42.345489501953125,AIR.PA,42.345489501953125
2015-02-16,50.25,50.720001220703125,50.25,50.45000076293945,1845654,42.94129943847656,AIR.PA,42.94129943847656
2015-02-17,50.369998931884766,50.72999954223633,49.61000061035156,50.66999816894531,1861650,43.12855911254883,AIR.PA,43.12855911254883
2015-02-18,50.93000030517578,51.439998626708984,50.40999984741211,51.38999938964844,1835841,43.74139404296875,AIR.PA,43.74139404296875
2015-02-19,51.189998626708984,52,50.83000183105469,51.9900016784668,1817126,44.25209426879883,AIR.PA,44.25209426879883
2015-02-20,51.77000045776367,52.470001220703125,51.7599983215332,52.459999084472656,2769517,44.65214157104492,AIR.PA,44.65214157104492
2015-02-23,52.72999954223633,53,52.52000045776367,52.84000015258789,1880919,44.975582122802734,AIR.PA,44.975582122802734
2015-02-24,52.630001068115234,52.880001068115234,51.52000045776367,51.849998474121094,2488759,44.13292694091797,AIR.PA,44.13292694091797
2015-02-25,51.59000015258789,51.869998931884766,50.97999954223633,51.400001525878906,2069140,43.74991226196289,AIR.PA,43.74991226196289
2015-02-26,51.470001220703125,51.81999969482422,51.09000015258789,51.630001068115234,2128171,43.9456787109375,AIR.PA,43.9456787109375
2015-02-27,54.209999084472656,55.75,53.810001373291016,55.33000183105469,7164236,47.09498977661133,AIR.PA,47.09498977661133
2015-03-02,55.849998474121094,56.790000915527344,55.16999816894531,56.09000015258789,3133916,47.74187469482422,AIR.PA,47.74187469482422
2015-03-03,56.130001068115234,56.43000030517578,55.29999923706055,55.400001525878906,2417019,47.15456771850586,AIR.PA,47.15456771850586
2015-03-04,55.33000183105469,56.900001525878906,55.31999969482422,56.52000045776367,3085353,48.10786819458008,AIR.PA,48.10786819458008
2015-03-05,56.75,59.5,56.619998931884766,59.209999084472656,4599758,50.39750671386719,AIR.PA,50.39750671386719
2015-03-06,58.5,59.4900016784668,58.209999084472656,59.41999816894531,3360543,50.57625198364258,AIR.PA,50.57625198364258
2015-03-09,58.970001220703125,59.4900016784668,58.41999816894531,58.880001068115234,1917367,50.11663055419922,AIR.PA,50.11663055419922
2015-03-10,58.58000183105469,59.15999984741211,57.91999816894531,58.880001068115234,3101036,50.11663055419922,AIR.PA,50.11663055419922
2015-03-11,59.099998474121094,61.529998779296875,59.040000915527344,61.43000030517578,3256951,52.2870979309082,AIR.PA,52.2870979309082
2015-03-12,61.5,62.47999954223633,61.400001525878906,62.08000183105469,3119244,52.840354919433594,AIR.PA,52.840354919433594
2015-03-13,62.119998931884766,63.560001373291016,61.849998474121094,63.560001373291016,3415498,54.100074768066406,AIR.PA,54.100074768066406
2015-03-16,63.59000015258789,64,63.119998931884766,63.86000061035156,2903861,54.355430603027344,AIR.PA,54.355430603027344
2015-03-17,63.650001525878906,63.70000076293945,60.369998931884766,60.97999954223633,4210185,51.90406799316406,AIR.PA,51.90406799316406
2015-03-18,61,61.9900016784668,60.720001220703125,61.189998626708984,3099599,52.08281707763672,AIR.PA,52.08281707763672
2015-03-19,60.52000045776367,61.20000076293945,59.400001525878906,61.08000183105469,2906434,51.989192962646484,AIR.PA,51.989192962646484
2015-03-20,61.08000183105469,61.709999084472656,60.599998474121094,61.400001525878906,3602871,52.261566162109375,AIR.PA,52.261566162109375
2015-03-23,61.4900016784668,61.599998474121094,59.849998474121094,60,3139983,51.06993103027344,AIR.PA,51.06993103027344
2015-03-24,59.290000915527344,60.75,58.13999938964844,60.310001373291016,5095155,51.333797454833984,AIR.PA,51.333797454833984
2015-03-25,60,60.41999816894531,58.79999923706055,58.88999938964844,3098932,50.12513732910156,AIR.PA,50.12513732910156
2015-03-26,58.380001068115234,60.150001525878906,57.849998474121094,60.13999938964844,3237783,51.18909454345703,AIR.PA,51.18909454345703
2015-03-27,60.650001525878906,61.369998931884766,60.209999084472656,60.40999984741211,2905348,51.41891098022461,AIR.PA,51.41891098022461
2015-03-30,60.84000015258789,61.459999084472656,60.5099983215332,61.189998626708984,2009482,52.08281707763672,AIR.PA,52.08281707763672
2015-03-31,60.900001525878906,61.56999969482422,60.36000061035156,60.439998626708984,2340555,51.44443893432617,AIR.PA,51.44443893432617
2015-04-01,60.36000061035156,61.650001525878906,60.29999923706055,60.90999984741211,1820660,51.8444938659668,AIR.PA,51.8444938659668
2015-04-02,60.709999084472656,60.93000030517578,60.310001373291016,60.7599983215332,1137046,51.71681213378906,AIR.PA,51.71681213378906
2015-04-07,60.650001525878906,60.88999938964844,59.54999923706055,60.400001525878906,1855001,51.410400390625,AIR.PA,51.410400390625
2015-04-08,59.9900016784668,60.58000183105469,59.84000015258789,60.040000915527344,1408507,51.103981018066406,AIR.PA,51.103981018066406
2015-04-09,59.84000015258789,61.279998779296875,59.83000183105469,61.27000045776367,1779222,52.15091323852539,AIR.PA,52.15091323852539
2015-04-10,61,61.90999984741211,60.959999084472656,61.90999984741211,1700265,52.69565200805664,AIR.PA,52.69565200805664
2015-04-13,60.709999084472656,62.95000076293945,60.70000076293945,62.790000915527344,2217918,53.44468688964844,AIR.PA,53.44468688964844
2015-04-14,62.15999984741211,62.369998931884766,60.84000015258789,61.130001068115234,2920754,52.03174591064453,AIR.PA,52.03174591064453
2015-04-15,61,62.83000183105469,60.79999923706055,62.72999954223633,2450935,53.393611907958984,AIR.PA,53.393611907958984
2015-04-16,63,64.58000183105469,63,63.970001220703125,3911402,54.449058532714844,AIR.PA,54.449058532714844
2015-04-17,63,63.5,62.040000915527344,62.18000030517578,3345186,52.92546844482422,AIR.PA,52.92546844482422
2015-04-20,61.95000076293945,63.16999816894531,61.880001068115234,63.11000061035156,1728463,53.71705627441406,AIR.PA,53.71705627441406
2015-04-21,63.189998626708984,64.73999786376953,63.11000061035156,64.54000091552734,2790356,54.93421936035156,AIR.PA,54.93421936035156
2015-04-22,64.12000274658203,66.0999984741211,64.0199966430664,65.80000305175781,3382709,56.00669479370117,AIR.PA,56.00669479370117
2015-04-23,65.08000183105469,65.88999938964844,64.9000015258789,65.63999938964844,3841382,55.870506286621094,AIR.PA,55.870506286621094
2015-04-24,65.05000305175781,65.7300033569336,64.29000091552734,65.13999938964844,3488833,55.44491958618164,AIR.PA,55.44491958618164
2015-04-27,64.20999908447266,65.75,63.66999816894531,65.75,2607996,55.96413040161133,AIR.PA,55.96413040161133
2015-04-28,65.06999969482422,65.61000061035156,62.65999984741211,62.900001525878906,3506310,53.53831481933594,AIR.PA,53.53831481933594
2015-04-29,62,63.470001220703125,60.400001525878906,60.58000183105469,3605381,51.5636100769043,AIR.PA,51.5636100769043
2015-04-30,60.189998626708984,62.2400016784668,59.5099983215332,62,4115032,52.77226257324219,AIR.PA,52.77226257324219
2015-05-04,61.20000076293945,61.849998474121094,60.959999084472656,61.599998474121094,1979364,52.431793212890625,AIR.PA,52.431793212890625
2015-05-05,61,62.09000015258789,59.75,59.900001525878906,3343254,50.98481750488281,AIR.PA,50.98481750488281
2015-05-06,59.599998474121094,61.4900016784668,59.52000045776367,60.279998779296875,3512195,51.30826187133789,AIR.PA,51.30826187133789
2015-05-07,60.02000045776367,60.59000015258789,58.119998931884766,60.36000061035156,3092654,51.3763542175293,AIR.PA,51.3763542175293
2015-05-08,60.97999954223633,63.54999923706055,60.56999969482422,63.400001525878906,3394340,53.96389389038086,AIR.PA,53.96389389038086
2015-05-11,61.099998474121094,62.459999084472656,60.529998779296875,62.09000015258789,3850548,52.8488655090332,AIR.PA,52.8488655090332
2015-05-12,61.79999923706055,61.79999923706055,59.97999954223633,60.709999084472656,3248673,51.674259185791016,AIR.PA,51.674259185791016
2015-05-13,61.349998474121094,62.38999938964844,60,60.20000076293945,2602835,51.24016571044922,AIR.PA,51.24016571044922
2015-05-14,60.130001068115234,60.9900016784668,58.880001068115234,60.869998931884766,2359017,51.81044387817383,AIR.PA,51.81044387817383
2015-05-15,61.5,62.33000183105469,60.5,60.86000061035156,3202079,51.80193328857422,AIR.PA,51.80193328857422
2015-05-18,61,61.880001068115234,60.150001525878906,61.5,2017404,52.3466796875,AIR.PA,52.3466796875
2015-05-19,62.060001373291016,63.65999984741211,62,62.810001373291016,3256897,53.46170425415039,AIR.PA,53.46170425415039
2015-05-20,63.11000061035156,63.5099983215332,62.45000076293945,63.34000015258789,1972699,53.91282653808594,AIR.PA,53.91282653808594
2015-05-21,63,63.97999954223633,62.56999969482422,63.939998626708984,1445504,54.42352294921875,AIR.PA,54.42352294921875
2015-05-22,63.79999923706055,64.13999938964844,63.099998474121094,63.72999954223633,2184433,54.244773864746094,AIR.PA,54.244773864746094
2015-05-25,64.23999786376953,64.23999786376953,63.130001068115234,63.36000061035156,752324,53.92984390258789,AIR.PA,53.92984390258789
2015-05-26,63.47999954223633,64.45999908447266,63.22999954223633,63.4900016784668,2885149,54.04050064086914,AIR.PA,54.04050064086914
2015-05-27,64.04000091552734,65.55000305175781,63.5099983215332,65.26000213623047,3451740,55.547061920166016,AIR.PA,55.547061920166016
2015-05-28,65,65.25,64.0199966430664,64.63999938964844,1745158,55.01934051513672,AIR.PA,55.01934051513672
2015-05-29,64.61000061035156,64.69000244140625,61.81999969482422,62,3487927,52.77226257324219,AIR.PA,52.77226257324219
2015-06-01,61.33000183105469,62.33000183105469,60.630001068115234,61.81999969482422,2572274,53.65758514404297,AIR.PA,53.65758514404297
2015-06-02,62.06999969482422,62.11000061035156,60.54999923706055,61.5099983215332,2618030,53.38851547241211,AIR.PA,53.38851547241211
2015-06-03,61.65999984741211,62.869998931884766,61.029998779296875,61.43000030517578,2468752,53.3190803527832,AIR.PA,53.3190803527832
2015-06-04,61.06999969482422,61.4900016784668,59.7599983215332,60.77000045776367,2650730,52.746219635009766,AIR.PA,52.746219635009766
2015-06-05,60.34000015258789,60.349998474121094,59.029998779296875,59.65999984741211,3033031,51.78278350830078,AIR.PA,51.78278350830078
2015-06-08,59.5,59.650001525878906,58.83000183105469,59.150001525878906,2012815,51.34011459350586,AIR.PA,51.34011459350586
2015-06-09,58.810001373291016,59.31999969482422,57.84000015258789,58.95000076293945,2884534,51.166526794433594,AIR.PA,51.166526794433594
2015-06-10,58.63999938964844,60.81999969482422,58.16999816894531,60.529998779296875,2397338,52.53791046142578,AIR.PA,52.53791046142578
2015-06-11,60.58000183105469,62.310001373291016,60.36000061035156,61.45000076293945,2729206,53.3364372253418,AIR.PA,53.3364372253418
2015-06-12,61.040000915527344,61.31999969482422,59.52000045776367,60.439998626708984,2785727,52.45978927612305,AIR.PA,52.45978927612305
2015-06-15,59.880001068115234,60.70000076293945,59.11000061035156,59.290000915527344,2739965,51.461631774902344,AIR.PA,51.461631774902344
2015-06-16,58.689998626708984,59.52000045776367,57.43000030517578,59.369998931884766,3418757,51.531070709228516,AIR.PA,51.531070709228516
2015-06-17,59.5,59.9900016784668,57.91999816894531,57.959999084472656,2585767,50.3072395324707,AIR.PA,50.3072395324707
2015-06-18,57.95000076293945,57.95000076293945,56.130001068115234,57.689998626708984,4128000,50.0728874206543,AIR.PA,50.0728874206543
2015-06-19,58.2599983215332,59.33000183105469,57.970001220703125,58.939998626708984,4783481,51.157840728759766,AIR.PA,51.157840728759766
2015-06-22,60.470001220703125,61.380001068115234,59.77000045776367,60.63999938964844,3793439,52.633384704589844,AIR.PA,52.633384704589844
2015-06-23,61.540000915527344,62.38999938964844,61.27000045776367,61.9900016784668,2608448,53.80514144897461,AIR.PA,53.80514144897461
2015-06-24,62.310001373291016,62.61000061035156,61.06999969482422,61.689998626708984,2810227,53.544742584228516,AIR.PA,53.544742584228516
2015-06-25,61.380001068115234,63.08000183105469,61.25,61.83000183105469,3518802,53.66626739501953,AIR.PA,53.66626739501953
2015-06-26,61.400001525878906,62.20000076293945,61.0099983215332,61.5099983215332,2427603,53.38851547241211,AIR.PA,53.38851547241211
2015-06-29,58.29999923706055,60.310001373291016,58,59.29999923706055,3818093,51.47031021118164,AIR.PA,51.47031021118164
2015-06-30,59.220001220703125,59.529998779296875,58,58.20000076293945,3960975,50.51554870605469,AIR.PA,50.51554870605469
2015-07-01,59.61000061035156,61.209999084472656,59.22999954223633,60.369998931884766,4189932,52.39904022216797,AIR.PA,52.39904022216797
2015-07-02,60.619998931884766,60.849998474121094,59.369998931884766,59.52000045776367,1903264,51.66126251220703,AIR.PA,51.66126251220703
2015-07-03,59.66999816894531,59.79999923706055,58.70000076293945,59.209999084472656,2062176,51.39219284057617,AIR.PA,51.39219284057617
2015-07-06,58.0099983215332,58.97999954223633,57.59000015258789,58.380001068115234,2979146,50.67178726196289,AIR.PA,50.67178726196289
2015-07-07,58.5099983215332,58.79999923706055,56.41999816894531,56.619998931884766,3404999,49.144168853759766,AIR.PA,49.144168853759766
